full_name,birth_year,death_year,party_entrance_year,party_entrance_month,ethnicity
Бзиава Константин Павлович,1905,NA,1928,8,Грузин
Благовестов Константин Николаевич,1903,1982,1918,5,"Об отце сведений не имел, мать – продавщица. Русский. В КП с 05.18."
Блиндерман Владимир Михайлович,1905,1958,1931,4,Еврей
Блинов Борис Михайлович,1914,NA,1940,12,Русский
Бобков Алексей Васильевич,1903,1989,1926,7,Русский
Бобровников Антон Тихонович,1907,2001,1926,11,Русский
Бобченко Константин Семенович,1909,NA,1939,4,Русский
Бобылев Анатолий Петрович,1902,1961,1924,11,Русский
Богачев Андрей Тимофеевич,1907,1952,1929,12,Русский
Богданов Василий Иванович,1908,NA,1932,10,Русский
Богданов Николай Кузьмич,1907,1972,1929,12,Русский
Богданов Павел Михайлович,1901,1973,1926,10,Русский
Богданов Яков Абрамович,1903,1975,1928,5,Русский
Богомолов Борис Иванович,1917,NA,1942,3,Русский
Бодягин Дмитрий Иванович,1908,1995,1931,3,Русский
Бойков Иван Павлович,1902,1987,1920,4,Русский
Бойков Николай Васильевич,1909,1969,1939,3,Русский
Болилый Сергей Алексеевич,1912,1980,1940,4,Украинец
Болотин (Балясный) Григорий Самойлович,1896,1990,1928,10,Еврей
Болховитин Анатолий Аркадьевич,1915,NA,1940,11,Русский
Большунов Петр Александрович,1907,1970,1929,4,Украинец
Бондаренко Михаил Стратонович,1901,1977,1932,1,Украинец
Борисенко Николай Сидорович,1903,1989,1937,6,Русский
Боровков Иван Иванович,1907,1967,1927,4,Русский
Бородинский Яков Маркович,1898,1959,1931,7,Еврей
Бородкин Михаил Иванович,1916,NA,1939,12,Русский
Бородулин Николай Филиппович,1900,1972,1919,10,Русский
Борсоков Хазраил Хакяшевич,1910,NA,1932,9,Кабардинец
Боханов Владимир Терентьевич,1906,1973,1930,4,Русский
Боярский Андрей Михайлович,1895,1983,1923,2,Белорус
Боярский Владимир Ананьевич,1913,2007,1939,5,Украинец
Брагин Николай Петрович,1905,1975,1929,7,Русский
Бранзбург Иосиф Фридманович,1909,1981,1930,9,Еврей
Брезгин Александр Иванович,1910,NA,1932,3,Русский
Бритиков Федор Кузьмич,1902,1981,1924,8,Русский
Броверман Яков Михайлович,1908,NA,1941,3,Еврей
Бровкин Алексей Николаевич,1906,1983,1930,8,Русский
Бровкин Виктор Данилович,1912,1994,1932,10,рабочего
Бударев Владимир Иванович,1907,1959,1938,3,рабочего ж.д
Булан Константин Григорьевич,1904,1986,1921,1,Русский
Буланцев Захарий Константинович,1907,1967,1937,12,амбулатории на ж.д
Булатов Хасан Исхакович,1906,1970,1941,10,Киргиз
Булгаков Константин Владимирович,1911,1987,1939,10,Русский
Булдович Роман Елисеевич,1902,1985,1920,7,Украинец
Булкин Григорий Лаврентьевич,1902,1990,1929,2,Русский
Булычев Николай Васильевич,1905,1977,1902,9,Русский
Бумаков Василий Иванович,1904,1968,1931,4,Русский
Бурдин Леонид Семенович,1918,NA,1943,1,Русский
Бурдуков Степан Тимофеевич,1905,1963,1929,9,Русский
Буринский Михаил Александрович,1910,1984,1932,1,Русский
Бурлаченко Григорий Федорович,1914,NA,1942,9,Украинец
Бурмак Петр Васильевич,1901,1969,1926,6,Украинец
Бурмистров Иван Михайлович,1901,1976,1929,4,Русский
Бурмистров Павел Григорьевич,1910,1972,1932,7,Русский
Буруковский Николай Рудольфович,1907,NA,1929,7,Еврей
Бутаков Тимофей Александрович,1904,1963,1939,8,Русский
