full_name,birth_year,death_year,party_entrance_year,party_entrance_month,ethnicity
Игнатов Петр Николаевич,1912,NA,1938,3,Русский
Игнатьев Семен Денисович,1904,1983,1926,7,Украинец
Измайлов Владимир Александрович,1905,1967,1939,4,Русский
Израильбеков Адиль,1909,1980,1940,1,Узбек
Израйлев Леонид Романович,1903,1942,1929,11,Еврей
Ильин Виктор Владимирович,1912,NA,1939,5,Русский
Ильин Виктор Николаевич,1904,1990,1925,10,Русский
Ильинский Михаил Ильич,1910,1941,1938,11,Русский
Ильичев Алексей Григорьевич,1905,1984,1939,4,Русский
Илюшин-Эдельман Илья Израилевич,1897,1974,1929,12,Еврей
Илясов Николай Федорович,1909,1981,1929,3,Русский
Инаури Алексей Николаевич,1908,1993,1932,5,Грузин
Исабаев Абдулла Ибрагимович,1898,1964,1920,5,Узбек
Исаев Ахмед Мирзаевич,1910,1983,1941,9,Аварец
Исаков Алексей Алексеевич,1901,1964,1919,11,Русский
Исмамбетов Вагап,1905,1974,1929,11,Казах
Истомин Михаил Федорович,1900,1976,1938,1,Русский
Иткин Леонид Ефимович,1910,1985,1932,3,Еврей
Ишевский Василий Федорович,1899,1949,1927,11,Русский
Ишков Алексей Гаврилович,1915,1966,1940,2,Русский
Ищенко Георгий Авксентьевич,1910,1988,1930,8,Русский
Каверзнев Михаил Кириллович,1905,1975,1930,12,Русский
Кавтарадзе Николай Виссарионович,1897,1972,1927,10,Грузин
Кадыров Мукаш,1914,NA,1939,12,рабочего
Казанцев Владимир Иванович,1900,1979,1930,2,Русский
Казарин Антон Петрович,1903,1979,1926,10,Русский
Казаченков Владимир Иванович,1904,1984,1921,9,Русский
Калашников Григорий Никифорович,1907,NA,1939,3,Украинец
Калинин Николай Наумович,1907,1974,1939,8,Русский
Калининский Михаил Иванович,1905,1986,1930,4,Русский
Калмычков Александр Сергеевич,1902,1959,1925,5,Русский
Камбулов Петр Иванович,1909,NA,1940,6,Русский
Канашевич Михаил Николаевич,1906,NA,1929,10,Белорус
Кансултанов Керей,1916,1990,1940,6,Казах
Каныгин Павел Петрович,1909,NA,NA,NA,Русский
Капанадзе Андрей Павлович,1907,1983,1936,12,Грузин
Капралов Петр Михайлович,1906,1964,1927,7,Русский
Карандашев Сергей Петрович,1903,NA,1930,4,Русский
Карасев Михаил Кириллович,1900,1988,1924,9,Русский
Карасев Николай Александрович,1911,1976,1940,3,Русский
Каримов Алим,1909,NA,1931,9,Таджик
Карпенко Николай Матвеевич,1904,NA,1931,6,Русский
Карпов Георгий Григорьевич,1898,1967,1901,4,Русский
Карпов Иван Прокофьевич,1904,1977,1931,7,Русский
Карташов Сергей Николаевич,1914,1979,1941,2,Русский
Карумидзе Борис Вахтангович,1907,1988,1938,12,Грузин
Касаткин Константин Николаевич,1907,NA,1929,4,Русский
Касимов Дмитрий Васильевич,1900,1995,1927,9,Татарин
Касумов Эюб Микаил (Микаэл) Оглы,1901,NA,1926,5,Азербайджанец
Касымов Азам Касымович,1914,1968,1939,12,Таджик
Катков Александр Георгиевич,1901,NA,1920,6,Русский
Кашинцев Константин Сергеевич,1908,1980,1940,3,оружейного з-да (мать умерла в 1908)
Квасников Леонид Романович,1905,1993,1939,7,Русский
Квливидзе Александр Семенович,1901,1985,1937,10,Грузин
Керимов Эюб Алекперович,1912,NA,1932,10,Азербайджанец
Кинаров Иван Павлович,1913,NA,NA,NA,Русский
Киреев Тихон Андреевич,1903,1967,1927,10,Русский
Кириллов Александр Матвеевич,1897,1968,1918,7,Русский
Кирюхин Федор Матвеевич,1902,1962,1926,10,Русский
Кирюшин Иван Михайлович,1903,1948,1928,4,Русский
Киселевич Валентин Евгеньевич,1900,NA,1928,2,судья)
Кислов Константин Андреевич,1911,2000,1939,5,Русский
Клепов Сергей Алексеевич,1900,1972,1923,1,Русский
Клецко Иван Иосифович,1910,1981,1930,10,Белорус
Клименко Афанасий Лукич,1903,1985,1925,6,Украинец
Клименко Иван Ефимович,1908,1984,1928,10,Украинец
Клименко Иван Исаевич,1914,NA,1939,6,Украинец
Клинышкин Константин Николаевич,1914,NA,1940,4,Русский
Клочко Иван Денисович,1909,1963,1939,5,Украинец
Клыков Афанасий Николаевич,1903,1969,1929,4,Русский
Клычев Джума,1914,NA,1939,8,Туркмен
Кобзев Иван Иванович,1910,1973,1932,7,Русский
Ковалев Александр Александрович,1908,1977,1938,1,Русский
Ковалев Александр Иванович,1896,1973,1924,4,Русский
Ковалев Андрей Ефимович,1915,NA,1942,10,Русский
Ковалев Илья Филиппович,1905,1983,1932,8,Русский
Ковалевский Александр Антонович,1904,1979,1926,8,Белорус
Коваленко Павел Тимофеевич,1917,1987,1940,12,Украинец
Ковальчук Николай Кузьмич,1902,1972,1927,11,Украинец
Коврыженко Павел Пантелеймонович,1905,1974,1928,1,Украинец
Ковшук-Бекман Михаил Фомич,1898,1971,1919,7,Белорус
Кожевников Андрей Герасимович,1901,1975,1919,12,Русский
Кожевников Леонид Иванович,1904,NA,1938,6,штаба армии (отец умер в 1910)
Кожевников Николай Александрович,1911,1969,1931,9,Русский
Кожевников Сергей Федорович,1904,1961,NA,NA,Русский
Козаченко Борис Григорьевич,1905,NA,1930,9,Русский
Козлов Анатолий Сергеевич,1908,1999,1929,2,Русский
Козлов Василий Иванович,1906,1990,1931,12,Русский
Козырев Александр Александрович,1916,1974,1901,14,кондуктора
Козырев Иван Львович,1909,1974,1932,1,Русский
Колдаев Михаил Михайлович,1902,1974,1926,10,Русский
Колдунов Петр Николаевич,1909,1994,1929,5,Русский
Колесников Иван Иванович,1897,1961,1920,8,Русский
Колесников Никита Емельянович,1902,1981,1927,5,Украинец
Колесников Порфирий Константинович,1906,1979,1926,5,Русский
Коломиец Василий Дмитриевич,1905,1979,1939,5,Украинец
Комаев Бадма Дакинович,1908,1988,1939,12,Калмык
Комаров Владимир Иванович,1916,1954,1942,2,Русский
Комаров Георгий Яковлевич,1897,1951,1919,11,Русский
Комаров Федор Ануфриевич,1902,1973,1926,7,Русский
Кондратенко Николай Елисеевич,1902,NA,1937,9,Украинец
Кондратьев Анатолий Петрович,1909,NA,1932,9,Русский
Кондрашин Владимир Ефимович,1913,1979,1942,9,Русский
Коненков Никандр Иванович,1902,1976,1924,6,Русский
Коновалов Андрей Васильевич,1913,1976,1941,7,Русский
Коновалов Иван Петрович,1907,1967,1931,11,Украинец
Коновалов Сергей Васильевич,1906,1960,1930,9,присутствия
Константинов Виктор Вениаминович,1909,1968,1938,10,Русский
Коняхин Николай Михайлович,1914,1977,1944,4,Русский
Копылов Федор Иванович,1910,1979,1932,4,пожарной команды (мать умерла в 1918)
Корецкий Михаил Макарович,1905,1984,1928,3,Отчим работал плотником по найму. Русский. В КП с 03.28.
Корнилов Василий Иванович,1915,1971,1939,11,Русский
Корницкий Яков Данилович,1906,1982,1931,6,Русский
Коробкин Николай Николаевич,1914,1993,1941,7,Русский
Королев Василий Сергеевич,1902,1952,1928,8,Русский
Королев Николай Андрианович,1907,1986,1924,10,Русский
Коротков Александр Михайлович,1909,1961,1939,6,Русский
Коротков Иван Семенович,1905,1959,1925,9,Русский
Корсаков Георгий Аркадьевич,1901,1984,1936,12,Еврей
Корсаков Леонид Павлович,1911,1981,1939,9,Русский
Корхмазян Сергей Аркадьевич,1912,NA,1939,7,Армянин
Корчемкин Борис Ионович,1915,NA,1939,10,Воспитывался в детдоме
Космачев-Кольцов Александр Николаевич,1897,1971,1917,9,Русский
Коссой Аврам Иосифович,1900,NA,1917,7,Еврей
Костенко Арсений Григорьевич,1900,1969,1940,9,Украинец
Костин Александр Дмитриевич,1902,1983,1932,2,Русский
Костин Петр Данилович,1915,1988,1944,8,Русский
Косубаев Смагул,1907,1984,1937,4,Казах
Котышев Георгий Анисимович,1904,1989,1930,9,Украинец
Кочегаров Максим Константинович,1899,NA,1919,9,Русский
Кочергин Михаил Кузьмич,1897,1977,1926,7,Русский
Кочетков Александр Евстафьевич,1905,NA,1925,1,Русский
Кочетков Виктор Васильевич,1902,1985,1924,12,станции
Кочетов Дмитрий Дорофеевич,1911,1966,1936,12,Русский
Кошкин Анатолий Иванович,1918,1974,1940,11,Русский
Кошумбеков Джумабек,1913,1970,1940,2,Казах
Кравцов Евгений Игнатьевич,1913,1973,1932,4,больницы
Кравченко Леонид Петрович,1910,1976,1940,6,Украинец
Кравченко Николай Григорьевич,1912,1977,1937,9,Украинец
Кравченко Николай Николаевич,1913,1983,1943,7,Украинец
Красильников Сергей Петрович,1902,1967,1927,8,Русский
Краснобородько Михаил Иванович,1904,1948,1927,12,Русский
Краснопевцев Борис Иванович,1905,1994,1939,9,Русский
Крассман Михаил Кузьмич,1909,1976,1941,2,Эстонец
Крашенинников Михаил Васильевич,1904,1963,1938,3,Русский
Краюхин Василий Михайлович,1906,1979,1932,8,Русский
Кремлев Дмитрий Васильевич,1917,NA,1943,6,"Мать учительница, отчим бухгалтер"
Кривошеев Петр Спиридонович,1913,NA,1941,10,служащего
Кримян Никита Аркадьевич,1913,1955,1939,5,Армянин
Круглов Федор Илларионович,1910,1966,1931,4,Русский
Крысанов Александр Петрович,1912,1984,1941,2,Русский
Куварзин Анатолий Иванович,1912,1989,1939,4,Русский
Кудинов Георгий Петрович,1898,1941,1918,10,Русский
Кудрявцев Козьма Николаевич,1903,1975,1928,11,Русский
Кудрявцев Михаил Михайлович,1902,NA,1920,12,Русский
Кудряков Иван Никитович,1902,1957,1930,4,Русский
Кузнецов Александр Константинович,1903,1948,1925,2,больницы)
Кузнецов Александр Семенович,1899,1976,1918,11,Русский
Кузнецов Андрей Михайлович,1901,1971,1919,9,Русский
Кузнецов Борис Владимирович,1907,1975,1932,7,Русский
Кузнецов Иван Леонтьевич,1903,1984,1928,8,Русский
Кузнецов Михаил Васильевич,1909,1963,1928,10,Русский
Кузовлев Виталий Сергеевич,1912,NA,1939,7,Русский
Кузьмин Игнатий Иванович,1902,NA,1927,5,Русский
Кузьмин Семен Кузьмич,1903,1975,1928,4,Русский
Кузьминов Терентий Иванович,1906,1981,1907,24,Молдаванин
Кузьмичев Сергей Федорович,1908,1989,1937,12,Русский
Кукин Константин Михайлович,1897,1979,1918,1,Русский
Кукушкин Иван Павлович,1907,1971,1931,9,Русский
Кулаков Константин Петрович,1907,1964,1928,6,станц
Кулиев Якуб Гасанович,1906,NA,1929,12,Азербайджанец
Куликовских Кирилл Григорьевич,1897,1959,1917,10,Русский
Кураш Иван Михайлович,1906,1987,1929,1,Украинец
Курбанов Шариф,1919,NA,1940,3,Таджик
Курганов Иван Матвеевич,1910,1979,1939,8,Русский
Курманжапов Тасмухамед,1920,1980,1940,11,Казах
Куропаткин Николай Дмитриевич,1903,1975,1929,9,Русский
Куспангалиев Урайхан,1913,NA,1939,7,Казах
Кутманалиев Аджике Ашубаевич,1919,1981,1944,1,Киргиз
Кутьянов Константин Федорович,1909,1973,1930,9,Русский
Кучава Шалва Ионович,1911,NA,1940,11,Грузин
Кучеров Алексей Николаевич,1899,1959,1920,3,Русский
Кыштобаев Итибай,1922,1984,1946,4,Киргиз
Лабецкий Александр Никитич,1906,1968,1929,12,Русский
Лагунов Николай Михайлович,1905,1978,1927,1,Русский
Лангфанг Александр Иванович,1907,1990,1925,9,машиниста (отец умер в 1921)
Ландри-Магардук Шаря Шеремович,1899,1941,1932,7,Туркмен
Лапенков Николай Ефимович,1907,1986,1929,3,Русский
Лапин Михаил Парамонович,1903,1957,1921,1,Русский
Лапшин Владимир Валерианович,1902,NA,1920,9,Русский
Латыпов Абдулла Гайнутдинович,1902,1965,1919,10,Татарин
Лебедев Алексей Павлович,1906,1968,1929,10,Русский
Лебедев Михаил Федорович,1904,1985,1928,8,отд
Лебин Дмитрий Ефремович,1902,1990,1922,1,Русский
Левин Дмитрий Матвеевич,1907,1979,1930,7,Русский
Левкович Леонид Николаевич,1912,NA,1940,3,Русский
Лежнев Борис Артемьевич,1893,1954,1920,5,Русский
Леньков Василий Иванович,1910,1973,1939,6,Русский
Леонов Александр Георгиевич,1905,1954,1926,5,Русский
Леонов Валентин Иванович,1905,1942,1938,1,Русский
Леонов Дмитрий Сергеевич,1899,1981,NA,NA,Русский
Леонтьев Александр Михайлович,1902,1960,1927,1,Русский
Либенсон Ефим Михайлович,1912,NA,1939,9,Еврей
Лимов Николай Павлович,1909,1975,1936,12,Русский
Линников Николай Кузьмич,1909,NA,1939,1,Русский
Литвинов Сергей Макарович,1911,NA,1938,10,Русский
Литкенс Сергей Евграфович,1912,1990,1939,4,присяжного поверенного1
Лихачев Борис Михайлович,1906,NA,1941,3,Украинец
Лихачев Михаил Тимофеевич,1913,1954,1938,5,Русский
Лобанов Александр Никитич,1897,1972,1919,12,Русский
Лобанов Дмитрий Николаевич,1898,NA,1919,9,Русский
Лобанов Константин Васильевич,1906,1971,1929,3,Русский
Логвиненко Леонид Яковлевич,1916,NA,1940,10,Русский
Лопаев Александр Кузьмич,1904,1972,1927,7,Русский
Лорент Петр Павлович,1898,1966,1917,9,Русский
Лоркиш Иосиф Яковлевич,1905,1968,1938,3,Еврей
Лосев Евгений Дмитриевич,1904,1942,1931,7,Русский
Лосев Петр Матвеевич,1907,1970,1925,9,Русский
Лунев Константин Федорович,1907,1980,1926,8,Русский
Лутов Василий Алексеевич,1906,1984,1939,1,Русский
Луховицкий Соломон Эммануилович,1903,NA,1937,12,Еврей
Лынько Владимир Семенович,1911,1981,1931,10,Белорус
Лысенков Николай Петрович,1909,1956,NA,NA,Русский
Людвигов Борис Александрович,1907,NA,1924,11,Русский
Лякишев Михаил Андреевич,1917,1970,1940,1,Русский
Лялин Серафим Николаевич,1908,1978,1929,2,Русский
Ляпин Алексей Васильевич,1914,1987,1940,12,Русский
Ляпунов Николай Алексеевич,1905,1979,1930,5,Русский
Ляудис Казимир Франциевич,1901,1989,1925,2,Литовец
Ляшенко Василий Трофимович,1903,1989,1927,2,Украинец
Маврин Михаил Яковлевич,1905,1986,1924,11,Русский
Маглеванный Иван Лукьянович,1908,1984,1930,4,Украинец
Мажара Николай Константинович,1911,1979,1932,10,Украинец
Мазур Павел Федорович,1906,1991,1926,7,Украинец
Майорский Григорий Львович,1910,1977,1939,4,Еврей
Майрановский Григорий Моисеевич,1899,1964,1920,4,Еврей
Майструк Владимир Федорович,1903,1976,1928,6,Украинец
Макаров Александр Павлович,1901,NA,1924,10,Русский
Макаров Василий Емельянович,1903,1975,1928,12,Русский
Макаров Николай Иванович,1905,1976,1926,11,Русский
Макарьев Петр Павлович,1908,1964,1931,7,Русский
Макашов Михаил Егорович,1907,1958,1927,10,Русский
Маклярский Исидор (Михаил) Борисович,1909,1978,1932,2,Еврей
Маковский Николай Владимирович,1903,1982,1926,10,Украинец
Максименко Алексей Петрович,1905,1959,1927,9,Русский
Максименко Павел Николаевич,1915,NA,1939,9,Русский
Максимов Георгий Николаевич,1910,NA,1940,12,Русский
Малабаев Джолдошбай,1917,NA,1939,12,Киргиз
Маликов Дмитрий Григорьевич,1905,NA,1929,6,Русский
Малинин Борис Николаевич,1912,1993,1940,4,Русский
Малишевский Александр Николаевич,1901,1973,1932,2,Русский
Мальков Владимир Матвеевич,1909,NA,1931,4,Русский. В КП с 04.31.
Мальков Павел Михайлович,1904,1983,1930,3,Русский
Мальцев Михаил Митрофанович,1904,1982,1925,7,(после революции отец сотрудник НКВД)
Малютин Владимир Васильевич,1909,1955,1930,6,Русский
Мамиев Моисей Ильич,1907,1971,1930,9,Осетин
Мамонтов Василий Николаевич,1910,1965,1939,5,Русский
Мансуров Дмитрий Антонович,1911,1972,1941,7,Осетин
Маркарян Рубен Амбарцумович,1896,1956,1925,9,Армянин
Марков Константин Владимирович,1913,NA,1939,9,Русский
Марковский Константин Михайлович,1903,1978,1924,9,Белорус
Мартиросов Георгий Иосифович,1906,NA,1930,3,Армянин
Мартиросян Айказ Манукович,1911,NA,1939,5,Армянин
Мартыненко Петр Степанович,1903,1978,1927,11,Украинец
Марченков Михаил Петрович,1899,1980,1920,7,Русский
Марчик Владимир Филиппович,1912,1986,1941,5,флота – кладовщика-баталера1
Масленников Владимир Иванович,1910,1972,1932,1,Русский
Маслов Иван Петрович,1906,1982,1932,3,Русский
Мастицкий Василий Федорович,1902,1954,1926,4,Русский
Матвеев Александр Иванович,1916,2007,1941,9,Русский
Матвеев Александр Павлович,1905,1946,1925,9,Русский
Матвеенко Иван Арсентьевич,1905,1983,1928,9,Украинец
Матвиевский Павел Петрович,1910,1956,1931,3,Русский
Матевосов Иван Иванович,1905,1979,1922,6,Армянин
Матусов Яков Наумович,1908,1967,1938,6,Еврей
Махкамбаев Сатывалды,1912,NA,1938,10,Таджик
Махкамов Бобо,1919,1986,1943,2,Таджик
Махов Николай Михайлович,1913,1983,1941,7,Русский
Машнин Дмитрий Андреевич,1898,NA,NA,NA,Русский. В КП с 1919.
Маштафаров Виталий Прокофьевич,1912,1995,1939,9,Русский
Медведев Александр Петрович,1905,1965,1928,1,Русский
Медведев Даниил Дмитриевич,1905,1953,1928,3,Русский
Медведев Михаил Владимирович,1909,NA,1931,5,Вепс
Медведев Павел Николаевич,1905,1998,1929,9,пароходства (отец умер в 1909)
Медведев Федор Михайлович,1909,NA,1932,3,(отец умер в 1918)
Медведский Василий Лаврентьевич,1896,1945,1919,11,Белорус
Мельников Григорий Александрович,1898,1972,1919,8,Русский
Мельников Григорий Павлович,1904,NA,1928,3,Русский
Мельников Дмитрий Иванович,1906,1956,1927,3,Русский
Мельников Игорь Анатольевич,1904,1969,1919,10,Русский
Мельников Николай Дмитриевич,1905,1944,1925,4,Русский
Меретуков Ахмед Долотукович,1910,1977,1931,6,Черкес
Мерзленко Дмитрий Павлович,1905,1996,1929,2,Русский
Меринов Василий Алексеевич,1908,1986,1932,3,Русский
Меркулов Александр Петрович,1902,1962,1925,1,Русский
Месяцев Николай Николаевич,1920,NA,1941,5,Русский
Мещанов Павел Самсонович,1900,1983,1919,10,Русский
Мещеряков Тимофей Лазаревич,1899,1975,1930,2,Русский
Микаутадзе Константин Окропирович,1906,NA,1928,4,Грузин
Микитянский Владимир Давидович,1908,NA,1930,11,Еврей
Миклашевский Леонид Михайлович,1906,1970,1925,10,Украинец
Миков Савва Иванович,1904,1966,1925,2,Русский
Мирковский Евгений Иванович,1904,1992,1927,2,Белорус
Миронов Николай Романович,1913,1964,1919,5,Русский
Мирошников Владимир Яковлевич,1898,1984,1925,12,Украинец
Мирхамидов Миршариф,1903,1959,1927,8,Узбек
Михайлов Виктор Михайлович,1909,1972,1931,4,Русский
Михайлов Николай Семенович,1907,NA,1939,10,Русский
Михайлов Павел Андреевич,1899,1978,1925,11,Русский
Михальчук Тимофей Антонович,1903,1986,1929,11,Русский
Михальянц (Михайлянц) Сергей Сумбатович,1911,NA,1939,6,Армянин
Мицкевич Евгений Петрович,1893,1959,1917,9,Украинец
Мичурин Александр Васильевич,1911,1984,1931,8,Русский
Мичурин-Равер Марк Леонтьевич,1898,NA,1919,11,Еврей
Мишин Василий Николаевич,1901,1980,1922,2,Русский
Мовсесов Георгий Аркадьевич,1910,1965,1941,5,Армянин
Можин Андрей Павлович,1902,NA,1926,12,Русский
Моисеев Аркадий Михайлович,1912,1967,1931,10,Русский
Моисеев Василий Михайлович,1911,1954,1931,7,Русский
Мороз Николай Самойлович,1902,1987,1929,3,Украинец
Мороз Николай Тихонович,1908,NA,1929,1,Украинец
Морозкин Георгий Семенович,1904,1975,1927,4,Русский
Морозов Иван Дмитриевич,1907,1983,1930,10,Русский
Мосесов Мосес Григорьевич,1905,1988,1930,8,Армянин
Москаленко Валентин Иванович,1908,1984,1931,12,Русский
Москаленко Иван Иванович,1907,1982,1939,5,Украинец
Московенко Владимир Ионович,1910,1986,1930,12,Украинец
Мошенский Авксентий Леонтьевич,1900,1981,1937,10,Украинец
Муратов Нагим Хафизович,1913,1980,1940,1,Татарин
Мурро Андрей (Андрес) Андреевич,1903,1941,1922,1,Эстонец
Мусаев Александр Дмитриевич,1895,1976,1925,6,Русский
Мусатов Николай Александрович,1910,NA,1939,5,Русский
Муханин Иван Сергеевич,1909,1981,1928,11,Русский
Мухин Андрей Федорович,1902,1970,1928,9,Русский
Мухин Иван Яковлевич,1912,1956,1940,12,Русский
Мякотных Николай Сергеевич,1914,1976,1939,4,Русский
Набатников Михаил Максимович,1908,1993,1940,11,Русский
Нагиев Кара-Бали Мешади Наги Оглы,1909,1981,1931,10,Азербайджанец
Надарая Сардион Николаевич,1903,NA,1921,6,Грузин
Назаров Иван Филиппович,1904,1974,1928,12,Русский
Насымов Мухамед-Амин,1921,NA,1943,12,Узбек
Насыров Виктор Исаакович,1906,1984,1928,11,Русский
Наумов Александр Григорьевич,1907,1948,1928,7,Русский
Нацвлишвили Михаил Георгиевич,1905,1974,1937,2,Грузин
Начкебия Капитон Григорьевич,1901,1973,1931,8,Грузин
Негеревич Иван Акимович,1913,1960,1945,12,рабочего ж.-д
Недавний Сергей Митрофанович,1900,1988,1925,6,Украинец
Недосеков Иван Васильевич,1916,1997,1940,6,Белорус
Недрига Михаил Павлович,1903,1971,1927,6,Русский
Нежин Георгий Дмитриевич,1912,1950,1940,3,Русский
Нибладзе Ираклий Ильич,1906,1984,1939,2,Грузин
Никитин Дмитрий Михайлович,1899,1969,1919,8,"жандармерии, с отцом не жил с 1904; мать – крестьянка, попала под поезд в 1907; воспитывался у дяди – ж.-д"
Никитин Леонид Николаевич,1911,1953,1939,11,Русский
Никифоров Александр Тихонович,1902,1968,1920,10,Русский
Никифоров Андрей Васильевич,1909,1976,1931,4,Русский
Николаев Николай Иванович,1909,1979,1928,8,Русский
Николенко Михаил Ананьевич,1910,1977,1941,1,Украинец
Никольский Михаил Иванович,1907,1974,1937,1,Русский
Никонов Григорий Андреевич,1905,1982,1927,7,Русский
Никулкин Яков Прокопьевич,1913,1983,1941,10,Русский
Новик Николай Петрович,1914,2009,1940,9,Белорус
Новиков Борис Васильевич,1919,NA,1939,4,Русский
Новиков Василий Михайлович,1902,1965,1930,11,Русский
Новиков Иван Дмитриевич,1906,1967,1930,4,Русский
Новобратский Лев Ильич,1907,1980,1928,3,Еврей
Новоселов Сергей Павлович,1914,NA,1939,5,"торговле, в 1953 проректор Свердловского политехн"
Нозадзе Иван Сардионович,1911,NA,1932,3,Грузин
Ноников Евгений Александрович,1911,1973,1940,9,Армянин
Норов Суюн,1905,1989,1932,7,Узбек
Обручников Борис Павлович,1905,1988,1926,1,Русский
Овакимян Гайк Бадалович,1898,1967,1918,8,Армянин
Овсянков Петр Андреевич,1898,1973,1925,12,Русский
Овчинников Василий Григорьевич,1901,1978,1920,4,Русский
Одинцов Михаил Иванович,1904,1986,1928,11,Русский
Окорочков Федор Иванович,1898,1975,1918,12,Русский
Окулевич Михаил Константинович,1911,NA,1939,2,Украинец
Оленичев Алексей Владимирович,1905,1963,1931,3,Русский
Ордынцев Григорий Алексеевич,1911,NA,1939,5,Русский
Орлов Василий Иванович,1908,1964,1930,7,Русский
Орлов Илья Афанасьевич,1910,NA,1937,5,Русский
Орлов Михаил Федорович,1903,1984,1926,2,Русский
Орлов Павел Александрович,1900,1957,1939,8,(отец умер в 1913)
Осетров Николай Алексеевич,1905,1992,1926,11,Русский
Осипович Павел Константинович,1909,1965,1939,9,Белорус
Оспанов Муса,1906,NA,1939,4,Казах
Остряков Сергей Захарович,1905,1985,1925,5,Русский
Осюнькин Константин Павлович,1901,NA,1920,1,Русский
Отрощенко (Бойко) Андрей Макарович,1902,1993,1923,7,пути (с 1910 отец крестьянин-середняк)
Охапкин Константин Александрович,1905,1975,1931,1,Русский
Охрименко Евгений Федорович,1912,1981,1940,7,Русский
Павленко Лев Николаевич,1908,1968,1939,8,Украинец
Павлов Василий Павлович,1910,1962,1932,1,Русский
Павлов Иван Елисеевич,1906,1953,1931,4,Русский
Павлов Илья Семенович,1899,1964,1905,1,Русский
Павлов Михаил Федорович,1900,1985,1919,1,Русский
Павлов Николай Иванович,1914,1990,1939,3,Русский
Павлов Семен Никифорович,1899,1952,1924,9,Еврей
Павловский Борис Семенович,1903,1967,1920,12,Еврей
Павлюкевич Анатолий Константинович,1908,NA,1929,6,Русский
Падаров Гаджи-Мамед Ибрагим Оглы,1908,NA,1928,7,Азербайджанец
Палкин Арон Моисеевич,1903,NA,1924,10,Еврей
Панин Анатолий Алексеевич,1905,1976,1925,9,Русский
Панкратов Анатолий Михайлович,1910,1985,1931,7,Русский
Панфилов Михаил Федорович,1895,1959,1939,11,Русский
Панюков Александр Алексеевич,1894,1962,1917,3,Русский
Папков Николай Сергеевич,1898,1960,1936,12,Русский
Парамонов Георгий Иович,1907,NA,1939,9,Русский
Парахин Николай Федорович,1912,NA,1941,2,Русский
Паровишников Виктор Гаврилович,1897,1985,1939,1,Украинец
Парцхаладзе Николай Константинович,1896,NA,1932,11,Грузин
Пасманик Лев Матвеевич,1901,1969,1926,1,Еврей
Пастельняк Леонид Пантелеймонович,1910,1978,1939,4,Украинец
Пастельняк Павел Пантелеймонович,1903,1963,1919,5,Украинец
Патракеев Сергей Васильевич,1919,1985,1941,1,рабочего
Пенкин Дмитрий Романович,1908,1989,1929,10,Русский
Переверткин Семен Никифорович,1905,1961,1921,8,Русский
Перевозников Иван Степанович,1906,1973,1927,10,Русский
Перепелица Павел Порфирьевич,1912,1961,1939,5,Украинец
Перфильев Николай Михайлович,1911,1996,1940,3,Русский
Петраков Иван Тимофеевич,1907,1979,1930,12,Русский
Петренко Иван Григорьевич,1904,1950,1925,6,Украинец
Петров Александр Васильевич,1905,1989,1927,9,Русский
Петров Андрей Иванович,1902,1973,1922,1,Русский
Петров Гавриил Александрович,1901,1961,1918,12,Русский
Петров Николай Николаевич,1901,NA,1919,10,Русский
Петров Николай Николаевич,1915,1966,1941,5,Русский
Петров Федор Георгиевич,1902,1962,1919,10,"рабочего (отец с 1912 инвалид, умер в 1920, мать – сторож, умерла в 1919)"
Петровский Федор Павлович,1907,1959,1925,4,Русский
Петушков Владимир Петрович,1910,1974,NA,NA,Русский
Пивоваров Сергей Павлович,1910,1977,1932,4,Русский
Пильнов Федор Константинович,1904,1978,1927,8,Русский
Пинзур Израиль Львович,1907,NA,1926,9,Еврей
Пинчуков Евгений Максимович,1910,NA,1939,3,рабочего на ж.д
Пирогов Илья Васильевич,1906,1965,1928,8,Русский
Писарев Иван Степанович,1910,1977,1941,9,Русский
Питовранов Евгений Петрович,1915,1999,1937,10,Русский
Плевицкий Александр Николаевич,1901,1964,1918,12,Русский
Плесцов Сергей Иннокентьевич,1906,1972,1926,9,Русский
Плетнев Яков Алексеевич,1912,1974,1939,12,Русский
Плотников Петр Прохорович,1908,1976,1929,4,Русский
Плюснин Александр Иванович,1906,1961,1930,7,Русский
Погудин Василий Иванович,1891,1958,1920,1,Русский
Поддубко Валентин Александрович,1910,NA,1932,7,Украинец
Подобед Юрий Трофимович,1915,1980,1939,8,Белорус
Подольский (Искра) Матвей Владимирович,1899,1968,1920,3,Еврей
Поздняков Александр Александрович,1913,1968,1939,6,Русский
Покаместов Федор Георгиевич,1902,1955,1928,1,Русский
Покотило Сергей Викторович,1903,NA,1927,8,Украинец
Покровский Валентин Павлович,1909,2005,1940,5,Русский
Поликарпов Николай Иванович,1915,1981,1940,1,Русский
Политико Василий Тихонович,1910,1986,1931,1,Белорус
Полковников Александр Иванович,1906,1961,1937,5,Русский
Половнев Сергей Андреевич,1906,NA,1937,6,рабочего-смазчика
Положинский Константин Тимофеевич,1905,1976,1939,2,Украинец
Полозов Сергей Иванович,1913,1975,1939,3,Русский
Полюдов Александр Афанасьевич,1904,NA,1927,5,Русский
Поляков Михаил Семенович,1900,1973,1928,5,Русский
Полянский Иван Васильевич,1898,1956,1918,5,Русский
Пономарев Сергей Михайлович,1904,1959,1924,9,Русский
